time,predicted,true
4022,0.5819648131877029,0.5635637393610827
4023,0.5804861187778549,0.5619313320310892
4024,0.5791693068802136,0.5601826240617573
4025,0.5774723397281254,0.5579995353609656
4026,0.5751441284911705,0.5562596904775738
4027,0.5733412277061073,0.5550578502450141
4028,0.5720438562651315,0.5537098251330769
4029,0.5705396582260318,0.5524309843246236
4030,0.5689235657456698,0.551603563172467
4031,0.5674739113272517,0.5512020206344461
4032,0.5659382363352339,0.5512148952203348
4033,0.5646281484678197,0.5517436542970028
4034,0.5638344363681397,0.5516112689806949
4035,0.5633784506834173,0.550750063587925
4036,0.5630458701299772,0.5515259562001176
4037,0.5629588593177388,0.5538181103927264
4038,0.5629845434395887,0.5540791790195417
4039,0.5629489631088891,0.5525361953384339
4040,0.5630238071352245,0.5510289589382705
4041,0.5632054812400762,0.5488749031251516
4042,0.5629569648103295,0.5481564311545084
4043,0.562581166263101,0.5492255380945418
4044,0.5624353132663031,0.5506314213786492
4045,0.5622279754074,0.5529787083999017
4046,0.5620045111525384,0.5542321033959816
4047,0.561903664497549,0.5541358493993903
4048,0.5618898741277856,0.5541926834522882
4049,0.56189738748234,0.5538678511441677
4050,0.5619666852928924,0.5541225059193232
4051,0.562270715819875,0.5551606993564334
4052,0.5627054031569697,0.556086689867067
4053,0.5631249559701139,0.5571698858640008
4054,0.5635279372926348,0.5583835104132465
4055,0.5641242420204572,0.5596363798095899
4056,0.5649440853559233,0.5611605375037767
4057,0.5658062082819977,0.5629327385777878
4058,0.5668606309976634,0.5642518626311018
4059,0.5682950455386776,0.565093433317063
4060,0.5697829770370704,0.5657741936710595
4061,0.5708322727372745,0.5661148882433806
4062,0.5714618628098909,0.5666830373911652
4063,0.5721788974821744,0.567522616615318
4064,0.5728635235042825,0.5682038879197729
4065,0.5735912302691639,0.568858775722039
4066,0.5749034111050937,0.5703429107679006
4067,0.5762471368607568,0.5727009854384529
4068,0.577119536897774,0.5756313697705016
4069,0.5780480432860935,0.579374780493271
4070,0.5793247489377806,0.5818917225536142
4071,0.5809500745359633,0.583026934017052
4072,0.5829055623660879,0.5839741298791087
4073,0.5846924862796091,0.5842061444464798
4074,0.5860870311134481,0.584904372095255
4075,0.5871860277241067,0.586217731566859
4076,0.588112982283926,0.5871315837460802
4077,0.5888425056948042,0.5879338331883032
4078,0.589423420133312,0.5883268329200019
4079,0.5899787671654334,0.5881661522748985
4080,0.5905557016073599,0.5878045322267077
4081,0.5911280481385028,0.587125590939363
4082,0.5917447513627354,0.5871606753488987
4083,0.592091847016968,0.5880419501970765
4084,0.5921967494423772,0.5891772081972484
4085,0.5923770129044158,0.590865052545153
4086,0.5925573186596977,0.592049646386274
4087,0.5928821280219929,0.5926324401308192
4088,0.5934310717967741,0.5933889314902119
4089,0.5938845602849862,0.594060062466312
4090,0.5944567964818862,0.5929978022026706
4091,0.5948902247855575,0.5900979435168265
4092,0.5949611654603115,0.5878655499273561
4093,0.594990103061765,0.5860244611894454
4094,0.5946054259761937,0.5837698161512862
4095,0.5939219362705146,0.5815597325355251
4096,0.5932786272504296,0.5797877873518641
4097,0.5924873438874759,0.5785171152623305
4098,0.5915814254818379,0.5767908210819549
4099,0.5905226854379403,0.5746779824223774
4100,0.5892282218000713,0.5717441138782475
4101,0.5877281487588711,0.5677181602698602
4102,0.5859447258925616,0.5653992002353624
4103,0.5842462503121112,0.5648019575155785
4104,0.582807488500681,0.5642610035157288
4105,0.5815192939292283,0.5643866426422909
4106,0.5804724195999729,0.5647921251808166
4107,0.5798221203495203,0.5653188515994366
4108,0.5793505273423382,0.566612341653275
4109,0.5785706663997758,0.5685680848171659
4110,0.5778013953361533,0.5698730311516079
4111,0.5775250135084499,0.570506345355793
4112,0.5775077093403598,0.571023588872748
4113,0.5775169248233543,0.5710966362599939
4114,0.5774303936648765,0.5713753604995734
4115,0.5771002420311532,0.5718945205838739
4116,0.5765357942069206,0.5720503655055853
4117,0.5761325609744828,0.5719679230520316
4118,0.576014874900042,0.5734953075122156
4119,0.5760928859251623,0.5767261601176373
4120,0.5760930812464076,0.5778412459807142
4121,0.5759578346335493,0.5770254347323234
4122,0.5761890691299617,0.5779917575738593
4123,0.5765989721196417,0.580159952485764
4124,0.5767939800369407,0.5814865884871845
4125,0.5768972678933194,0.5824812730994228
4126,0.5772929434641669,0.583607742733286
4127,0.5779036634229001,0.5846040208339344
4128,0.5783976257768262,0.585439048067507
4129,0.5788519992175956,0.5861138428237267
4130,0.5793961280036547,0.5867464839591776
4131,0.5800675596010545,0.5873289359245005
4132,0.5810799759098604,0.5877538554823795
4133,0.58233622196266,0.5880388064610289
4134,0.5833647882538204,0.5879833521158386
4135,0.583940626630395,0.5875463737381668
4136,0.5841298496900811,0.5868250081713365
4137,0.5846072120365836,0.5857503407393975
4138,0.5853154789791796,0.5843934449302531
4139,0.5855309256463576,0.5827477104213493
4140,0.5854489702458232,0.580707299872485
