time,predicted,true
4022,0.5617991549163782,0.5635637393610827
4023,0.5612564730840757,0.5619313320310892
4024,0.5587642499684049,0.5601826240617573
4025,0.5565463962430871,0.5579995353609656
4026,0.5545282796467321,0.5562596904775738
4027,0.5532277052550844,0.5550578502450141
4028,0.5523685957666922,0.5537098251330769
4029,0.5518182991150145,0.5524309843246236
4030,0.5513501952078314,0.551603563172467
4031,0.5503347461126211,0.5512020206344461
4032,0.549641950103534,0.5512148952203348
4033,0.5506644699670085,0.5517436542970028
4034,0.5511807978131693,0.5516112689806949
4035,0.5504938907118752,0.550750063587925
4036,0.5492111611624149,0.5515259562001176
4037,0.5491504115623169,0.5538181103927264
4038,0.5511924054283339,0.5540791790195417
4039,0.5522206185736421,0.5525361953384339
4040,0.550434499759533,0.5510289589382705
4041,0.5473962690756384,0.5488749031251516
4042,0.5442235409526872,0.5481564311545084
4043,0.5420161887167493,0.5492255380945418
4044,0.5417510779651111,0.5506314213786492
4045,0.5426714075657227,0.5529787083999017
4046,0.5433009215804748,0.5542321033959816
4047,0.543998732279485,0.5541358493993903
4048,0.5446727389398,0.5541926834522882
4049,0.5456214127647744,0.5538678511441677
4050,0.5460822148843577,0.5541225059193232
4051,0.546671291503857,0.5551606993564334
4052,0.5492558196632041,0.556086689867067
4053,0.5530573606239081,0.5571698858640008
4054,0.5570572702333948,0.5583835104132465
4055,0.5607010810090308,0.5596363798095899
4056,0.5640325862287447,0.5611605375037767
4057,0.565727933212359,0.5629327385777878
4058,0.5678510375319312,0.5642518626311018
4059,0.5699353819716185,0.565093433317063
4060,0.5707641682922993,0.5657741936710595
4061,0.5718192317994462,0.5661148882433806
4062,0.5726639131534483,0.5666830373911652
4063,0.5731367515076565,0.567522616615318
4064,0.5739601127286652,0.5682038879197729
4065,0.575182176204879,0.568858775722039
4066,0.576186625401072,0.5703429107679006
4067,0.5774728350373834,0.5727009854384529
4068,0.5793878292629044,0.5756313697705016
4069,0.5820765865874858,0.579374780493271
4070,0.5855332022904143,0.5818917225536142
4071,0.588459534322914,0.583026934017052
4072,0.5895608985965479,0.5839741298791087
4073,0.5895427824576231,0.5842061444464798
4074,0.589010654580467,0.584904372095255
4075,0.5886392058481076,0.586217731566859
4076,0.5893569287629001,0.5871315837460802
4077,0.5905852105239471,0.5879338331883032
4078,0.591346261894961,0.5883268329200019
4079,0.5921779025192073,0.5881661522748985
4080,0.5929635780266074,0.5878045322267077
4081,0.5922574800536627,0.587125590939363
4082,0.5900748773851978,0.5871606753488987
4083,0.5881625082295954,0.5880419501970765
4084,0.587764430422016,0.5891772081972484
4085,0.5899215773879457,0.590865052545153
4086,0.5928378322591998,0.592049646386274
4087,0.5952876484337886,0.5926324401308192
4088,0.5967539869665486,0.5933889314902119
4089,0.5966422844997179,0.594060062466312
4090,0.5963560433224199,0.5929978022026706
4091,0.5949794203837866,0.5900979435168265
4092,0.5913575963269954,0.5878655499273561
4093,0.5874772551201711,0.5860244611894454
4094,0.5845762325760192,0.5837698161512862
4095,0.5824027746022407,0.5815597325355251
4096,0.5801640618497297,0.5797877873518641
4097,0.5789131462082133,0.5785171152623305
4098,0.5782932271640295,0.5767908210819549
4099,0.5771269018493693,0.5746779824223774
4100,0.5755593637123702,0.5717441138782475
4101,0.5731775097362946,0.5677181602698602
4102,0.5691763395525965,0.5653992002353624
4103,0.5649690586078071,0.5648019575155785
4104,0.5632107781443058,0.5642610035157288
4105,0.5624148563811068,0.5643866426422909
4106,0.5617146013319194,0.5647921251808166
4107,0.5625643096218179,0.5653188515994366
4108,0.5642489339775689,0.566612341653275
4109,0.5657590567027659,0.5685680848171659
4110,0.5685360711555706,0.5698730311516079
4111,0.5728768019188978,0.570506345355793
4112,0.5745830872868285,0.571023588872748
4113,0.575040822053255,0.5710966362599939
4114,0.5746646753543091,0.5713753604995734
4115,0.5746528662117542,0.5718945205838739
4116,0.5751384787097253,0.5720503655055853
4117,0.575907882722717,0.5719679230520316
