time,predicted,true
4022,0.5635805958111233,0.5635637393610827
4023,0.5620881523757659,0.5619313320310892
4024,0.560321553207279,0.5601826240617573
4025,0.5585381813386981,0.5579995353609656
4026,0.556870488964499,0.5562596904775738
4027,0.5553364599732262,0.5550578502450141
4028,0.5540084288314162,0.5537098251330769
4029,0.5529545979346304,0.5524309843246236
4030,0.5522226634598727,0.551603563172467
4031,0.5517798231119819,0.5512020206344461
4032,0.5516077396046077,0.5512148952203348
4033,0.5518137847093315,0.5517436542970028
4034,0.552387117868005,0.5516112689806949
4035,0.5529753535056192,0.550750063587925
4036,0.5532974983693592,0.5515259562001176
4037,0.553335561119354,0.5538181103927264
4038,0.5531128527914372,0.5540791790195417
4039,0.5524426426419194,0.5525361953384339
4040,0.5513392019369525,0.5510289589382705
4041,0.5503733790883732,0.5488749031251516
4042,0.5500035650144735,0.5481564311545084
4043,0.5502853188538066,0.5492255380945418
4044,0.5511149252968397,0.5506314213786492
4045,0.5523743317034654,0.5529787083999017
4046,0.5537540818090726,0.5542321033959816
4047,0.5547838557691693,0.5541358493993903
4048,0.5552850099102842,0.5541926834522882
4049,0.5553918652462672,0.5538678511441677
4050,0.5553669982720654,0.5541225059193232
4051,0.5554797841742949,0.5551606993564334
4052,0.5559703323937496,0.556086689867067
4053,0.5569576611314306,0.5571698858640008
4054,0.5583376810249525,0.5583835104132465
4055,0.5599745780859391,0.5596363798095899
4056,0.5617539176745887,0.5611605375037767
4057,0.5633969952384249,0.5629327385777878
4058,0.5647142555030071,0.5642518626311018
4059,0.5656529320948452,0.565093433317063
4060,0.5662544765901988,0.5657741936710595
4061,0.5666190579483316,0.5661148882433806
4062,0.5668823653577613,0.5666830373911652
4063,0.5672911064232923,0.567522616615318
4064,0.5680851995400158,0.5682038879197729
4065,0.5693852439429501,0.568858775722039
4066,0.5712260691002096,0.5703429107679006
4067,0.5735453175630415,0.5727009854384529
4068,0.5761712119557681,0.5756313697705016
4069,0.5787574620947675,0.579374780493271
4070,0.5811023006366849,0.5818917225536142
4071,0.582960870587384,0.583026934017052
4072,0.5842600289191636,0.5839741298791087
4073,0.5851611379721827,0.5842061444464798
4074,0.5858160974750806,0.584904372095255
4075,0.5864517234742702,0.586217731566859
4076,0.5871442520235473,0.5871315837460802
4077,0.5877935689009668,0.5879338331883032
4078,0.5882344512198595,0.5883268329200019
4079,0.5884026322939444,0.5881661522748985
4080,0.5882753706926042,0.5878045322267077
4081,0.5880984361165911,0.587125590939363
4082,0.5880658797508195,0.5871606753488987
4083,0.5884355015178884,0.5880419501970765
4084,0.5893603338121494,0.5891772081972484
4085,0.5907596068482175,0.590865052545153
4086,0.592393748804253,0.592049646386274
4087,0.5936954115433773,0.5926324401308192
4088,0.5942524668785221,0.5933889314902119
4089,0.5939228463490701,0.594060062466312
4090,0.5927932211794679,0.5929978022026706
4091,0.5909246261134543,0.5900979435168265
4092,0.5884566089389417,0.5878655499273561
4093,0.5860611472457775,0.5860244611894454
4094,0.5840704788692079,0.5837698161512862
4095,0.5823373895249213,0.5815597325355251
4096,0.5806596847744708,0.5797877873518641
4097,0.57891838052364,0.5785171152623305
4098,0.576972221706811,0.5767908210819549
4099,0.5746416926526067,0.5746779824223774
4100,0.5719970942681122,0.5717441138782475
4101,0.5692803261918393,0.5677181602698602
4102,0.5667902602004211,0.5653992002353624
4103,0.5649644684453461,0.5648019575155785
4104,0.5640798036570235,0.5642610035157288
4105,0.5640924325720776,0.5643866426422909
4106,0.5648159008972156,0.5647921251808166
4107,0.5660301106358335,0.5653188515994366
4108,0.5674896995998507,0.566612341653275
4109,0.5688564266342432,0.5685680848171659
4110,0.5698854664521594,0.5698730311516079
4111,0.5705894848100589,0.570506345355793
4112,0.5710237657142465,0.571023588872748
4113,0.5711991342652742,0.5710966362599939
4114,0.5712656368983385,0.5713753604995734
4115,0.5715821453479937,0.5718945205838739
4116,0.5722604377039754,0.5720503655055853
4117,0.5731649390860183,0.5719679230520316
4118,0.5741058720661646,0.5734953075122156
4119,0.5752890570657483,0.5767261601176373
4120,0.5767252633118195,0.5778412459807142
4121,0.5780369255870427,0.5770254347323234
4122,0.5789966246019429,0.5779917575738593
4123,0.579994218857344,0.580159952485764
4124,0.5812822045541529,0.5814865884871845
4125,0.5825002487104832,0.5824812730994228
4126,0.5834715992890657,0.583607742733286
4127,0.5844664562901541,0.5846040208339344
4128,0.5856045793778438,0.585439048067507
4129,0.5866055891008676,0.5861138428237267
4130,0.587236357889002,0.5867464839591776
4131,0.5876932043004504,0.5873289359245005
4132,0.5880986767142475,0.5877538554823795
4133,0.5883504883232842,0.5880388064610289
4134,0.5883138018067,0.5879833521158386
4135,0.5879916035866438,0.5875463737381668
4136,0.5873523359216085,0.5868250081713365
4137,0.5863181481982478,0.5857503407393975
4138,0.5848643770890739,0.5843934449302531
4139,0.5830665996860563,0.5827477104213493
4140,0.5810364790089066,0.580707299872485
4141,0.578916136778561,0.5782743319692285
4142,0.5767761194178243,0.5761135072853334
4143,0.5747491899363213,0.5742644364268757
4144,0.5728444209972304,0.5724027579261995
4145,0.5709646416052292,0.570704378478804
4146,0.5689996782268404,0.568739429618112
4147,0.566932909425244,0.5664747520653466
4148,0.5647976403775201,0.5642736854399684
4149,0.5627599117808031,0.5620421294102491
4150,0.5609273686539141,0.560301132521076
4151,0.5594554593425592,0.5591511355293923
4152,0.5584975780705843,0.5582861297633717
4153,0.5580748179381301,0.5578738501402152
4154,0.5580764262378239,0.5577079254875844
4155,0.5583650706923615,0.55778149127372
4156,0.5588303923405002,0.5583580507789149
4157,0.5594658246414251,0.5594105918389023
4158,0.5603450179374878,0.5605189659383824
4159,0.5614756814879989,0.5616981795788482
4160,0.5629019471469546,0.5631495269699968
4161,0.5648176231150575,0.5647830931856586
4162,0.5672612491889331,0.5669370388993143
4163,0.5700990738149271,0.5696520907633643
4164,0.5730702510608133,0.5726987428819988
4165,0.5757314429307911,0.5761673972156945
4166,0.5777579135863488,0.5783182101643204
4167,0.5789075098053382,0.5789610992512466
4168,0.5792043366139084,0.5789877277361343
4169,0.5788797141080507,0.577897188277134
4170,0.5782140417243887,0.5775168688577441
4171,0.5777908366319097,0.5779907589293668
